assembly_accession;bioproject;biosample;wgs_master;excluded_from_refseq;refseq_category;relation_to_type_material;taxid;species_taxid;organism_name;infraspecific_name;isolate;version_status;assembly_level;release_type;genome_rep;seq_rel_date;asm_name;submitter;gbrs_paired_asm;paired_asm_comp;ftp_path;filename;Completeness;;Contamination;directory;contigs_file;proteins_file;genes_file;Size;GC;New_Genus;New_Species;Strain;TypeSpecies
GCA_009843455.1;PRJNA555144;SAMN12598655;VYDK00000000.1;derived from metagenome;na;;2604868;2604868;Synechococcus sp. SB0675_bin_7;;SB0675_bin_7;latest;Scaffold;Major;Full;2020/01/09;ASM984345v1;University of Queensland;na;na;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/843/455/GCA_009843455.1_ASM984345v1;GCA_009843455.1_ASM984345v1;93.16;;0.82;/home/vini/data/prosyn/./genbank/bacteria/GCA_009843455.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_009843455.1_ASM984345v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_009843455.1_ASM984345v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_009843455.1_ASM984345v1_genomic_prodigal_genes.fna;2.2368330000000003;0.6164577328750067;Synechospongium;sp.;SB0675_bin_7;
GCA_009843385.1;PRJNA555144;SAMN12598659;VYDO00000000.1;derived from metagenome;na;;2604869;2604869;Synechococcus sp. SB0676_bin_10;;SB0676_bin_10;latest;Scaffold;Major;Full;2020/01/09;ASM984338v1;University of Queensland;na;na;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/843/385/GCA_009843385.1_ASM984338v1;GCA_009843385.1_ASM984338v1;83.56;;0.54;/home/vini/data/prosyn/./genbank/bacteria/GCA_009843385.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_009843385.1_ASM984338v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_009843385.1_ASM984338v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_009843385.1_ASM984338v1_genomic_prodigal_genes.fna;1.864972;0.6181095480253859;Synechospongium;sp.;SB0676_bin_10;
GCA_009842265.1;PRJNA555144;SAMN12598715;VYFS00000000.1;derived from metagenome;na;;2604870;2604870;Synechococcus sp. SB0677_bin_5;;SB0677_bin_5;latest;Scaffold;Major;Full;2020/01/09;ASM984226v1;University of Queensland;na;na;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/842/265/GCA_009842265.1_ASM984226v1;GCA_009842265.1_ASM984226v1;93.75;;0.14;/home/vini/data/prosyn/./genbank/bacteria/GCA_009842265.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_009842265.1_ASM984226v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_009842265.1_ASM984226v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_009842265.1_ASM984226v1_genomic_prodigal_genes.fna;2.20438;0.6160276358885491;Synechospongium;sp.;SB0677_bin_5;
GCA_009842105.1;PRJNA555144;SAMN12598723;VYGA00000000.1;derived from metagenome;na;;2604871;2604871;Synechococcus sp. SB0678_bin_12;;SB0678_bin_12;latest;Scaffold;Major;Full;2020/01/09;ASM984210v1;University of Queensland;na;na;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/842/105/GCA_009842105.1_ASM984210v1;GCA_009842105.1_ASM984210v1;85.27;;1.49;/home/vini/data/prosyn/./genbank/bacteria/GCA_009842105.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_009842105.1_ASM984210v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_009842105.1_ASM984210v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_009842105.1_ASM984210v1_genomic_prodigal_genes.fna;2.008295;0.6143614359444205;Synechospongium;sp.;SB0678_bin_12;
GCA_000010065.1;PRJNA13282;SAMD00061073;;;representative genome;assembly from type material;269084;32046;Synechococcus elongatus PCC 6301;strain=PCC 6301;;latest;Complete Genome;Major;Full;2004/12/16;ASM1006v1;Nagoya University, Japan;GCF_000010065.1;identical;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/065/GCA_000010065.1_ASM1006v1;GCA_000010065.1_ASM1006v1;99.73;;0.0;/home/vini/data/prosyn/./genbank/bacteria/GCA_000010065.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_000010065.1_ASM1006v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_000010065.1_ASM1006v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_000010065.1_ASM1006v1_genomic_prodigal_genes.fna;2.696255;0.5548432918993196;Synechococcus;elongatus;PCC 6301;yes
GCA_000012525.1;PRJNA10645;SAMN02598254;;;na;;1140;32046;Synechococcus elongatus PCC 7942 = FACHB-805;strain=PCC 7942;;latest;Complete Genome;Major;Full;2005/11/08;ASM1252v1;DOE Joint Genome Institute;GCF_000012525.1;identical;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/525/GCA_000012525.1_ASM1252v1;GCA_000012525.1_ASM1252v1;100.0;;0.0;/home/vini/data/prosyn/./genbank/bacteria/GCA_000012525.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_000012525.1_ASM1252v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_000012525.1_ASM1252v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_000012525.1_ASM1252v1_genomic_prodigal_genes.fna;2.742269;0.5542636408025616;Synechococcus;elongatus;PCC 7942;no
GCA_003846445.1;PRJNA476044;SAMN09425400;;;na;;2219813;32046;Synechococcus elongatus PCC 11801;strain=PCC 11801;;latest;Chromosome;Major;Full;2018/11/28;ASM384644v1;Indian Institute of Technology Bombay;na;na;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/846/445/GCA_003846445.1_ASM384644v1;GCA_003846445.1_ASM384644v1;100.0;;0.0;/home/vini/data/prosyn/./genbank/bacteria/GCA_003846445.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_003846445.1_ASM384644v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_003846445.1_ASM384644v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_003846445.1_ASM384644v1_genomic_prodigal_genes.fna;2.691022;0.5489992278026713;Synechococcus;sp.;PCC 11801;no
GCA_003957805.1;PRJNA496333;SAMN09724271;;;na;;2479200;32046;Synechococcus elongatus UTEX 3055;strain=UTEX 3055;;latest;Complete Genome;Major;Full;2018/12/21;ASM395780v1;University of California, San Diego;GCF_003957805.1;identical;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/957/805/GCA_003957805.1_ASM395780v1;GCA_003957805.1_ASM395780v1;100.0;;0.0;/home/vini/data/prosyn/./genbank/bacteria/GCA_003957805.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_003957805.1_ASM395780v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_003957805.1_ASM395780v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_003957805.1_ASM395780v1_genomic_prodigal_genes.fna;2.881223;0.551230501769561;Synechococcus;elongatus;UTEX 3055;no
GCA_000817325.1;PRJNA209528;SAMN03278348;;;na;;1350461;1350461;Synechococcus sp. UTEX 2973;strain=UTEX 2973;;latest;Complete Genome;Major;Full;2015/01/09;ASM81732v1;Washington University in St Louis;GCF_000817325.1;identical;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/817/325/GCA_000817325.1_ASM81732v1;GCA_000817325.1_ASM81732v1;99.73;;0.0;/home/vini/data/prosyn/./genbank/bacteria/GCA_000817325.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_000817325.1_ASM81732v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_000817325.1_ASM81732v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_000817325.1_ASM81732v1_genomic_prodigal_genes.fna;2.744626;0.5543564041148047;Synechococcus;elongatus;UTEX 2973;no
GCA_000316685.1;PRJNA158717;SAMN02261337;;;na;;195253;195253;Synechococcus sp. PCC 6312;strain=PCC 6312;;latest;Complete Genome;Major;Full;2012/12/04;ASM31668v1;JGI;GCF_000316685.1;identical;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/316/685/GCA_000316685.1_ASM31668v1;GCA_000316685.1_ASM31668v1;99.64;;0.0;/home/vini/data/prosyn/./genbank/bacteria/GCA_000316685.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_000316685.1_ASM31668v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_000316685.1_ASM31668v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_000316685.1_ASM31668v1_genomic_prodigal_genes.fna;3.720499;0.4850470326695425;Stenotopis;californii;PCC 6312;yes
GCA_000153045.1;PRJNA13554;SAMN02436085;AANO00000000.1;;na;;69042;69042;Synechococcus sp. WH 5701;strain=WH 5701;;latest;Scaffold;Major;Full;2006/05/04;ASM15304v1;The Gordon and Betty Moore Foundation Marine Microbiology Initiative;GCF_000153045.1;identical;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/153/045/GCA_000153045.1_ASM15304v1;GCA_000153045.1_ASM15304v1;99.18;;7.84;/home/vini/data/prosyn/./genbank/bacteria/GCA_000153045.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_000153045.1_ASM15304v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_000153045.1_ASM15304v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_000153045.1_ASM15304v1_genomic_prodigal_genes.fna;3.280236;0.6067572577095063;Regnicoccus;antarcticus;WH 5701;yes
GCA_002252675.1;PRJNA396543;SAMN07427895;NQKY00000000.1;;na;;169670;169670;Synechococcus sp. BO 8801;strain=BO 8801;;latest;Scaffold;Major;Full;2017/08/15;ASM225267v1;University of Bristol;GCF_002252675.1;identical;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/252/675/GCA_002252675.1_ASM225267v1;GCA_002252675.1_ASM225267v1;98.91;;0.27;/home/vini/data/prosyn/./genbank/bacteria/GCA_002252675.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_002252675.1_ASM225267v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_002252675.1_ASM225267v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_002252675.1_ASM225267v1_genomic_prodigal_genes.fna;3.271183;0.6914892869032396;Regnicoccus;sp.;BO 8801;no
GCA_002252635.1;PRJNA396543;SAMN07427897;NQKX00000000.1;;na;;210768;210768;Synechococcus sp. MW101C3;strain=MW101C3;;latest;Contig;Major;Full;2017/08/15;ASM225263v1;University of Bristol;GCF_002252635.1;identical;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/252/635/GCA_002252635.1_ASM225263v1;GCA_002252635.1_ASM225263v1;100.0;;0.41;/home/vini/data/prosyn/./genbank/bacteria/GCA_002252635.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_002252635.1_ASM225263v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_002252635.1_ASM225263v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_002252635.1_ASM225263v1_genomic_prodigal_genes.fna;3.029138;0.6613422696489892;Regnicoccus;sp.;MW101C3;no
GCA_001039265.1;PRJNA286005;SAMN03736791;LFEK00000000.1;;na;;1662190;1662190;Synechococcus sp. GFB01;strain=GFB01;;latest;Contig;Major;Full;2015/06/24;ASM103926v1;Federal University of Para;GCF_001039265.1;identical;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/039/265/GCA_001039265.1_ASM103926v1;GCA_001039265.1_ASM103926v1;84.81;;4.15;/home/vini/data/prosyn/./genbank/bacteria/GCA_001039265.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_001039265.1_ASM103926v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_001039265.1_ASM103926v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_001039265.1_ASM103926v1_genomic_prodigal_genes.fna;2.339812;0.6777168422078355;Regnicoccus;sp.;GFB01;no
GCA_001885215.1;PRJNA352894;SAMN06006676;;;na;;1916956;1916956;Synechococcus sp. SynAce01;strain=SynAce01;;latest;Complete Genome;Major;Full;2016/11/22;ASM188521v1;Peking University Shenzhen Graduate School;GCF_001885215.1;identical;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/885/215/GCA_001885215.1_ASM188521v1;GCA_001885215.1_ASM188521v1;99.73;;0.0;/home/vini/data/prosyn/./genbank/bacteria/GCA_001885215.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_001885215.1_ASM188521v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_001885215.1_ASM188521v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_001885215.1_ASM188521v1_genomic_prodigal_genes.fna;2.750634;0.6391570088932225;Regnicoccus;sp.;SynAce01;no
GCA_002252625.1;PRJNA396543;SAMN07427896;NQKW00000000.1;;na;;2025605;2025605;Synechococcus sp. 1G10;strain=1G10;;latest;Contig;Major;Full;2017/08/15;ASM225262v1;University of Bristol;GCF_002252625.1;identical;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/252/625/GCA_002252625.1_ASM225262v1;GCA_002252625.1_ASM225262v1;99.46;;0.27;/home/vini/data/prosyn/./genbank/bacteria/GCA_002252625.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_002252625.1_ASM225262v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_002252625.1_ASM225262v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_002252625.1_ASM225262v1_genomic_prodigal_genes.fna;3.3402199999999995;0.6455595739202807;Regnicoccus;sp.;1G10;no
GCA_002252665.1;PRJNA396543;SAMN07427898;NQKZ00000000.1;;na;;2025606;2025606;Synechococcus sp. 8F6;strain=8F6;;latest;Scaffold;Major;Full;2017/08/15;ASM225266v1;University of Bristol;GCF_002252665.1;identical;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/252/665/GCA_002252665.1_ASM225266v1;GCA_002252665.1_ASM225266v1;99.46;;0.54;/home/vini/data/prosyn/./genbank/bacteria/GCA_002252665.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_002252665.1_ASM225266v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_002252665.1_ASM225266v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_002252665.1_ASM225266v1_genomic_prodigal_genes.fna;2.510697;0.6580917569901904;Regnicoccus;sp.;8F6;no
GCA_002737305.1;PRJNA396997;SAMN07460796;NSII00000000.1;derived from metagenome;na;;2026890;2026890;Synechococcus sp. Baikal-G1;;Baikal-G1;latest;Contig;Major;Full;2017/10/30;ASM273730v1;Evolutionary Genomics Group;na;na;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/737/305/GCA_002737305.1_ASM273730v1;GCA_002737305.1_ASM273730v1;87.09;;5.98;/home/vini/data/prosyn/./genbank/bacteria/GCA_002737305.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_002737305.1_ASM273730v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_002737305.1_ASM273730v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_002737305.1_ASM273730v1_genomic_prodigal_genes.fna;1.786691;0.6629909704587978;Regnicoccus;sp.;Baikal-G1;no
GCA_007828135.1;PRJNA536950;SAMN11528565;VITZ00000000.1;;na;;2572902;2572902;Synechococcus sp. Ace-Pa;strain=Ace-Pa;;latest;Scaffold;Major;Full;2019/08/02;ASM782813v1;DOE Joint Genome Institute;GCF_007828135.1;identical;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/828/135/GCA_007828135.1_ASM782813v1;GCA_007828135.1_ASM782813v1;99.73;;0.27;/home/vini/data/prosyn/./genbank/bacteria/GCA_007828135.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_007828135.1_ASM782813v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_007828135.1_ASM782813v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_007828135.1_ASM782813v1_genomic_prodigal_genes.fna;2.76289;0.6392368136263116;Regnicoccus;sp.;Ace-Pa;
GCA_000063505.1;PRJNA13642;SAMEA3138264;;;na;;32051;32051;Synechococcus sp. WH 7803;;;latest;Complete Genome;Major;Full;2007/05/19;ASM6350v1;Genoscope;GCF_000063505.1;identical;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/063/505/GCA_000063505.1_ASM6350v1;GCA_000063505.1_ASM6350v1;99.18;;0.0;/home/vini/data/prosyn/./genbank/bacteria/GCA_000063505.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_000063505.1_ASM6350v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_000063505.1_ASM6350v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_000063505.1_ASM6350v1_genomic_prodigal_genes.fna;2.36698;0.602360391722786;Pseudosynechococcus;pacificus;WH 7803;yes
GCA_001040845.1;PRJNA278997;SAMN03436066;;;na;;32052;32052;Synechococcus sp. WH 8020;strain=WH 8020;;latest;Chromosome;Major;Full;2015/06/26;ASM104084v1;University of Rhode Island;GCF_001040845.1;identical;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/040/845/GCA_001040845.1_ASM104084v1;GCA_001040845.1_ASM104084v1;99.73;;0.27;/home/vini/data/prosyn/./genbank/bacteria/GCA_001040845.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_001040845.1_ASM104084v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_001040845.1_ASM104084v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_001040845.1_ASM104084v1_genomic_prodigal_genes.fna;2.661166;0.5312006090563309;Pseudosynechococcus;sp.;WH 8020;no
GCA_000153285.1;PRJNA13553;SAMN02436160;AAOK00000000.1;;na;;59931;59931;Synechococcus sp. WH 7805;strain=WH 7805;;latest;Scaffold;Major;Full;2006/05/04;ASM15328v1;The Gordon and Betty Moore Foundation Marine Microbiology Initiative;GCF_000153285.1;identical;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/153/285/GCA_000153285.1_ASM15328v1;GCA_000153285.1_ASM15328v1;99.73;;0.0;/home/vini/data/prosyn/./genbank/bacteria/GCA_000153285.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_000153285.1_ASM15328v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_000153285.1_ASM15328v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_000153285.1_ASM15328v1_genomic_prodigal_genes.fna;2.627046;0.5748608893791735;Pseudosynechococcus;subtropicalis;WH 7805;yes
GCA_004209775.1;PRJNA518918;SAMN10863495;;;na;;59932;59932;Synechococcus sp. WH 8101;strain=WH 8101;;latest;Complete Genome;Major;Full;2019/02/19;ASM420977v1;University of Delaware;GCF_004209775.1;identical;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/209/775/GCA_004209775.1_ASM420977v1;GCA_004209775.1_ASM420977v1;100.0;;0.82;/home/vini/data/prosyn/./genbank/bacteria/GCA_004209775.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_004209775.1_ASM420977v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_004209775.1_ASM420977v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_004209775.1_ASM420977v1_genomic_prodigal_genes.fna;2.630292;0.6333536352617885;Pseudosynechococcus;sp.;WH 8101;no
GCA_000014585.1;PRJNA12530;SAMN02604031;;;na;;64471;64471;Synechococcus sp. CC9311;strain=CC9311;;latest;Complete Genome;Major;Full;2006/09/01;ASM1458v1;TIGR;GCF_000014585.1;identical;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/585/GCA_000014585.1_ASM1458v1;GCA_000014585.1_ASM1458v1;99.73;;0.0;/home/vini/data/prosyn/./genbank/bacteria/GCA_000014585.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_000014585.1_ASM1458v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_000014585.1_ASM1458v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_000014585.1_ASM1458v1_genomic_prodigal_genes.fna;2.606748;0.524473405177639;Pseudosynechococcus;benguelii;CC9311;yes
GCA_000230675.2;PRJNA61805;SAMN02261394;AGIK00000000.1;;na;;166318;166318;Synechococcus sp. WH 8016;strain=WH 8016;;latest;Contig;Major;Full;2011/10/14;ASM23067v1;JGI;GCF_000230675.1;identical;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/230/675/GCA_000230675.2_ASM23067v1;GCA_000230675.2_ASM23067v1;99.18;;0.0;/home/vini/data/prosyn/./genbank/bacteria/GCA_000230675.2;/home/vini/data/prosyn/processing/genomic_fna/GCA_000230675.2_ASM23067v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_000230675.2_ASM23067v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_000230675.2_ASM23067v1_genomic_prodigal_genes.fna;2.694843;0.5409446858314195;Pseudosynechococcus;sudipacificus;WH 8016;yes
GCA_000153825.1;PRJNA13557;SAMN02436107;AAUA00000000.1;;na;;221359;221359;Synechococcus sp. RS9916;strain=RS9916;;latest;Scaffold;Major;Full;2006/10/23;ASM15382v1;The Gordon and Betty Moore Foundation Marine Microbiology Initiative;GCF_000153825.1;identical;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/153/825/GCA_000153825.1_ASM15382v1;GCA_000153825.1_ASM15382v1;99.73;;0.0;/home/vini/data/prosyn/./genbank/bacteria/GCA_000153825.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_000153825.1_ASM15382v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_000153825.1_ASM15382v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_000153825.1_ASM15382v1_genomic_prodigal_genes.fna;2.664873;0.5979808418637587;Pseudosynechococcus;gyrus;RS9916;yes
GCA_000153065.1;PRJNA13555;SAMN02436139;AANP00000000.1;;na;;221360;221360;Synechococcus sp. RS9917;"strain=RS9917; RCC556";;latest;Scaffold;Major;Full;2006/05/04;ASM15306v1;The Gordon and Betty Moore Foundation Marine Microbiology Initiative;GCF_000153065.1;identical;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/153/065/GCA_000153065.1_ASM15306v1;GCA_000153065.1_ASM15306v1;99.46;;0.0;/home/vini/data/prosyn/./genbank/bacteria/GCA_000153065.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_000153065.1_ASM15306v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_000153065.1_ASM15306v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_000153065.1_ASM15306v1_genomic_prodigal_genes.fna;2.584918;0.6432517395135938;Pseudosynechococcus;equatorialis;RS9917;yes
GCA_900473935.1;PRJEB26976;SAMEA4707922;UCNN00000000.1;;na;;337067;337067;Synechococcus sp. UW105;;UW105;latest;Contig;Major;Full;2018/07/31;UW105;UNIVERSITY OF SOUTHERN CALIFORNIA;GCF_900473935.1;identical;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/473/935/GCA_900473935.1_UW105;GCA_900473935.1_UW105;99.46;;0.0;/home/vini/data/prosyn/./genbank/bacteria/GCA_900473935.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_900473935.1_UW105_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_900473935.1_UW105_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_900473935.1_UW105_genomic_prodigal_genes.fna;2.659417;0.5750106132283879;Pseudosynechococcus;sp.;UW105;no
GCA_900474295.1;PRJEB26976;SAMEA4707923;UCOB00000000.1;;na;;368503;368503;Synechococcus sp. UW140;;UW140;latest;Contig;Major;Full;2018/07/31;UW140;UNIVERSITY OF SOUTHERN CALIFORNIA;GCF_900474295.1;identical;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/474/295/GCA_900474295.1_UW140;GCA_900474295.1_UW140;99.73;;0.0;/home/vini/data/prosyn/./genbank/bacteria/GCA_900474295.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_900474295.1_UW140_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_900474295.1_UW140_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_900474295.1_UW140_genomic_prodigal_genes.fna;2.704142;0.5779910966214052;Pseudosynechococcus;sp.;UW140;no
GCA_001632105.1;PRJNA311927;SAMN04490774;LVHT00000000.1;;na;;1801628;1801628;Synechococcus sp. MIT S9504;strain=MIT S9504;;latest;Scaffold;Major;Full;2016/04/25;ASM163210v1;MIT;GCF_001632105.1;identical;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/632/105/GCA_001632105.1_ASM163210v1;GCA_001632105.1_ASM163210v1;99.73;;1.09;/home/vini/data/prosyn/./genbank/bacteria/GCA_001632105.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_001632105.1_ASM163210v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_001632105.1_ASM163210v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_001632105.1_ASM163210v1_genomic_prodigal_genes.fna;3.087293;0.5543354647582851;Pseudosynechococcus;sp.;MIT S9504;no
GCA_001632165.1;PRJNA311928;SAMN04490775;LVHU00000000.1;;na;;1801629;1801629;Synechococcus sp. MIT S9508;strain=MIT S9508;;latest;Scaffold;Major;Full;2016/04/25;ASM163216v1;MIT;GCF_001632165.1;identical;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/632/165/GCA_001632165.1_ASM163216v1;GCA_001632165.1_ASM163216v1;100.0;;0.27;/home/vini/data/prosyn/./genbank/bacteria/GCA_001632165.1;/home/vini/data/prosyn/processing/genomic_fna/GCA_001632165.1_ASM163216v1_genomic.fna;/home/vini/data/prosyn/processing/prodigal/proteins/GCA_001632165.1_ASM163216v1_genomic_prodigal_proteins.faa;/home/vini/data/prosyn/processing/prodigal/genes/GCA_001632165.1_ASM163216v1_genomic_prodigal_genes.fna;2.502434;0.5604931039140293;Pseudosynechococcus;sp.;MIT S9508;no
